index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possession,a_possession,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
1701,18-19,19,Fortuna Düsseldorf,RB Leipzig,0,4,0,3,10,12,111.59,114.5,515,457,414,366,101,91,0.8,0.8,0.54,0.46,0.48,0.52,11,11,11,11,1,3,8,2
1702,18-19,20,Hannover 96,RB Leipzig,0,3,0,1,5,19,112.87,114.3,399,465,277,350,122,115,0.69,0.75,0.46,0.54,0.39,0.61,15,20,17,14,2,2,0,7
1703,18-19,20,TSG Hoffenheim,Fortuna Düsseldorf,1,1,1,0,14,9,118.8,115.86,585,317,489,219,96,98,0.84,0.69,0.64,0.36,0.43,0.57,22,14,13,22,1,2,5,5
1704,18-19,20,Bayer 04 Leverkusen,Bayern München,3,1,0,1,10,17,124.63,115.9,443,462,348,372,95,90,0.79,0.81,0.49,0.51,0.5,0.5,13,13,11,11,1,1,7,4
1705,18-19,20,Eintracht Frankfurt,Borussia Dortmund,1,1,1,1,12,13,118.68,117.52,390,585,269,466,121,119,0.69,0.8,0.41,0.59,0.49,0.51,15,6,6,14,2,1,6,4
1706,18-19,20,Hertha BSC,VfL Wolfsburg,0,1,0,0,11,8,116.85,122.09,463,417,376,322,87,95,0.81,0.77,0.52,0.48,0.49,0.51,19,12,11,19,2,0,3,7
1707,18-19,20,1. FC Nürnberg,Werder Bremen,1,1,0,0,11,10,121.66,120.2,393,586,294,491,99,95,0.75,0.84,0.4,0.6,0.51,0.49,17,17,15,15,2,2,3,7
1708,18-19,20,FC Schalke 04,Bor. Mönchengladbach,0,2,0,0,10,16,107.79,111.88,345,568,288,506,57,62,0.83,0.89,0.38,0.62,0.43,0.57,10,10,8,10,3,3,1,6
1709,18-19,20,FC Augsburg,1. FSV Mainz 05,3,0,2,0,16,5,117.56,112.02,409,370,315,271,94,99,0.77,0.73,0.53,0.47,0.51,0.49,19,13,10,18,3,4,7,3
1710,18-19,20,VfB Stuttgart,SC Freiburg,2,2,0,1,17,16,121.13,125.98,613,277,513,189,100,88,0.84,0.68,0.69,0.31,0.53,0.47,9,10,9,8,1,1,7,8
1711,18-19,21,1. FSV Mainz 05,Bayer 04 Leverkusen,1,5,1,4,15,18,117.47,124.21,284,751,188,655,96,96,0.66,0.87,0.28,0.72,0.53,0.47,14,6,5,13,5,2,4,4
1712,18-19,21,Borussia Dortmund,TSG Hoffenheim,3,3,2,0,16,14,119.23,123.37,619,416,543,337,76,79,0.88,0.81,0.59,0.41,0.63,0.37,7,14,14,7,3,1,7,8
1713,18-19,21,RB Leipzig,Eintracht Frankfurt,0,0,0,0,15,6,114.18,113.36,464,398,308,247,156,151,0.66,0.62,0.54,0.46,0.49,0.51,10,10,10,9,1,5,7,4
1714,18-19,21,Bor. Mönchengladbach,Hertha BSC,0,3,0,1,12,10,112.97,116.08,640,282,559,206,81,76,0.87,0.73,0.69,0.31,0.51,0.49,8,11,11,7,0,1,5,5
1715,18-19,21,Hannover 96,1. FC Nürnberg,2,0,1,0,19,10,119.91,109.64,419,391,353,299,66,92,0.84,0.76,0.52,0.48,0.53,0.47,17,16,16,16,2,0,4,4
1716,18-19,21,SC Freiburg,VfL Wolfsburg,3,3,1,1,10,16,127.34,123.24,433,448,331,345,102,103,0.76,0.77,0.5,0.5,0.44,0.56,16,11,10,16,2,3,9,2
1717,18-19,21,Bayern München,FC Schalke 04,3,1,2,1,16,7,114.59,114.59,688,296,617,229,71,67,0.9,0.77,0.7,0.3,0.52,0.48,11,11,9,8,0,2,7,2
1718,18-19,21,Werder Bremen,FC Augsburg,4,0,3,0,13,13,115.62,111.02,373,565,268,460,105,105,0.72,0.81,0.4,0.6,0.53,0.47,6,13,12,5,1,3,3,2
1719,18-19,21,Fortuna Düsseldorf,VfB Stuttgart,3,0,1,0,15,15,120.05,117.7,380,499,271,396,109,103,0.71,0.79,0.43,0.57,0.48,0.52,20,8,8,18,2,2,5,4
1720,18-19,22,FC Augsburg,Bayern München,2,3,2,2,8,17,125.0,117.93,273,697,188,627,85,70,0.69,0.9,0.29,0.71,0.43,0.57,14,13,13,13,1,2,1,9
1721,18-19,22,FC Schalke 04,SC Freiburg,0,0,0,0,12,12,109.53,117.49,398,493,329,407,69,86,0.83,0.83,0.45,0.55,0.52,0.48,10,15,13,10,2,1,4,9
1722,18-19,22,TSG Hoffenheim,Hannover 96,3,0,2,0,27,6,116.3,114.34,564,357,483,277,81,80,0.86,0.78,0.61,0.39,0.58,0.42,16,6,6,15,3,1,10,6
1723,18-19,22,VfB Stuttgart,RB Leipzig,1,3,1,1,8,8,117.67,121.39,432,473,307,336,125,137,0.71,0.71,0.48,0.52,0.47,0.53,19,13,11,18,7,4,5,4
1724,18-19,22,VfL Wolfsburg,1. FSV Mainz 05,3,0,1,0,17,12,118.64,116.41,464,423,355,326,109,97,0.77,0.77,0.52,0.48,0.57,0.43,6,12,11,6,0,1,4,7
1725,18-19,22,Hertha BSC,Werder Bremen,1,1,1,0,11,8,113.85,118.25,364,554,258,443,106,111,0.71,0.8,0.39,0.61,0.59,0.41,17,12,11,16,3,3,4,3
1726,18-19,22,Eintracht Frankfurt,Bor. Mönchengladbach,1,1,1,0,13,14,112.93,110.93,331,493,255,415,76,78,0.77,0.84,0.41,0.59,0.53,0.47,12,8,8,12,7,0,8,7
1727,18-19,22,Bayer 04 Leverkusen,Fortuna Düsseldorf,2,0,1,0,13,3,119.96,118.85,1053,187,981,130,72,57,0.93,0.7,0.84,0.16,0.49,0.51,7,11,11,6,3,3,5,4
1728,18-19,22,1. FC Nürnberg,Borussia Dortmund,0,0,0,0,7,17,125.5,122.51,305,790,217,720,88,70,0.71,0.91,0.28,0.72,0.51,0.49,8,9,9,8,1,2,3,11
1729,18-19,23,Werder Bremen,VfB Stuttgart,1,1,1,1,15,8,123.06,123.36,758,347,632,219,126,128,0.83,0.63,0.69,0.31,0.54,0.46,7,9,9,7,1,4,4,2
1730,18-19,23,Bayern München,Hertha BSC,1,0,0,0,12,9,117.96,117.98,599,378,506,276,93,102,0.84,0.73,0.62,0.38,0.44,0.56,12,8,7,12,6,2,11,3
1731,18-19,23,Bor. Mönchengladbach,VfL Wolfsburg,0,3,0,1,16,6,116.59,121.79,558,425,473,345,85,80,0.85,0.81,0.58,0.42,0.45,0.55,15,11,11,14,3,0,12,1
1732,18-19,23,SC Freiburg,FC Augsburg,5,1,3,0,19,14,119.95,112.66,322,471,238,376,84,95,0.74,0.8,0.41,0.59,0.53,0.47,15,17,16,14,2,1,8,1
1733,18-19,23,1. FSV Mainz 05,FC Schalke 04,3,0,1,0,20,10,116.42,111.47,325,486,222,380,103,106,0.68,0.78,0.4,0.6,0.52,0.48,11,15,15,10,4,2,1,3
1734,18-19,23,Fortuna Düsseldorf,1. FC Nürnberg,2,1,0,1,18,6,117.02,110.79,646,224,574,145,72,79,0.89,0.65,0.75,0.25,0.52,0.48,14,10,7,14,2,1,7,3
1735,18-19,23,Hannover 96,Eintracht Frankfurt,0,3,0,0,9,14,114.3,111.84,380,381,287,291,93,90,0.76,0.76,0.5,0.5,0.5,0.5,11,13,13,11,1,2,3,5
1736,18-19,23,Borussia Dortmund,Bayer 04 Leverkusen,3,2,2,1,9,13,119.75,125.33,362,725,271,639,91,86,0.75,0.88,0.34,0.66,0.54,0.46,10,9,9,10,1,2,3,8
1737,18-19,23,RB Leipzig,TSG Hoffenheim,1,1,0,1,14,7,121.03,122.3,452,433,308,299,144,134,0.68,0.69,0.52,0.48,0.53,0.47,18,21,21,16,3,8,6,4
1738,18-19,24,FC Augsburg,Borussia Dortmund,2,1,1,0,9,17,127.26,116.1,291,768,198,672,93,96,0.68,0.88,0.28,0.72,0.44,0.56,15,11,11,15,2,2,1,4
1739,18-19,24,FC Schalke 04,Fortuna Düsseldorf,0,4,0,1,7,14,106.44,113.8,418,341,312,244,106,97,0.75,0.72,0.55,0.45,0.52,0.48,17,18,16,16,1,0,1,1
1740,18-19,24,Bayer 04 Leverkusen,SC Freiburg,2,0,1,0,18,8,128.72,128.94,901,323,830,235,71,88,0.92,0.73,0.73,0.27,0.49,0.51,11,7,7,11,2,1,7,2
1741,18-19,24,Eintracht Frankfurt,TSG Hoffenheim,3,2,1,1,19,20,124.24,121.58,408,410,321,312,87,98,0.79,0.76,0.5,0.5,0.6,0.4,9,17,16,8,1,1,4,3
1742,18-19,24,Hertha BSC,1. FSV Mainz 05,2,1,0,0,11,13,112.2,115.91,571,376,452,249,119,127,0.79,0.66,0.6,0.4,0.5,0.5,13,10,10,13,0,2,4,1
1743,18-19,24,1. FC Nürnberg,RB Leipzig,0,1,0,1,7,12,117.88,116.18,358,442,224,321,134,121,0.63,0.73,0.45,0.55,0.53,0.47,10,18,17,9,5,2,5,8
1744,18-19,24,Bor. Mönchengladbach,Bayern München,1,5,1,2,11,19,117.27,117.84,416,705,350,646,66,59,0.84,0.92,0.37,0.63,0.57,0.43,6,13,11,6,2,1,1,9
1745,18-19,24,VfB Stuttgart,Hannover 96,5,1,3,0,14,3,111.43,111.01,446,442,321,323,125,119,0.72,0.73,0.51,0.49,0.58,0.42,15,17,16,15,0,4,7,0
1746,18-19,24,VfL Wolfsburg,Werder Bremen,1,1,0,0,13,12,116.31,120.04,490,337,402,241,88,96,0.82,0.72,0.59,0.41,0.58,0.42,10,22,22,8,3,0,6,4
1747,18-19,25,Werder Bremen,FC Schalke 04,4,2,1,1,20,14,115.89,111.24,423,333,322,219,101,114,0.76,0.66,0.56,0.44,0.44,0.56,18,10,10,17,2,3,4,5
1748,18-19,25,Bayern München,VfL Wolfsburg,6,0,2,0,20,4,117.86,117.2,587,391,518,310,69,81,0.88,0.79,0.6,0.4,0.53,0.47,10,8,6,10,2,3,7,2
1749,18-19,25,Borussia Dortmund,VfB Stuttgart,3,1,0,0,18,7,113.05,116.66,797,268,700,180,97,88,0.88,0.67,0.75,0.25,0.44,0.56,7,10,10,6,2,0,7,1
1750,18-19,25,RB Leipzig,FC Augsburg,0,0,0,0,16,5,113.45,116.61,637,300,531,179,106,121,0.83,0.6,0.68,0.32,0.55,0.45,12,10,9,12,4,3,7,4
1751,18-19,25,SC Freiburg,Hertha BSC,2,1,1,0,9,16,118.48,113.86,284,526,202,421,82,105,0.71,0.8,0.35,0.65,0.46,0.54,10,17,15,10,2,3,3,6
1752,18-19,25,1. FSV Mainz 05,Bor. Mönchengladbach,0,1,0,0,13,10,122.4,120.58,465,586,383,492,82,94,0.82,0.84,0.45,0.55,0.48,0.52,12,5,4,12,2,0,2,6
1753,18-19,25,TSG Hoffenheim,1. FC Nürnberg,2,1,1,0,16,11,121.18,118.42,601,349,512,257,89,92,0.85,0.74,0.64,0.36,0.53,0.47,11,9,7,10,0,2,8,3
1754,18-19,25,Hannover 96,Bayer 04 Leverkusen,2,3,0,2,12,17,122.82,127.67,341,538,188,384,153,154,0.55,0.71,0.39,0.61,0.44,0.56,15,15,15,14,7,4,6,6
1755,18-19,25,Fortuna Düsseldorf,Eintracht Frankfurt,0,3,0,0,6,15,116.89,120.87,402,476,304,397,98,79,0.76,0.83,0.45,0.55,0.5,0.5,9,16,14,9,2,2,1,5
1756,18-19,26,Bor. Mönchengladbach,SC Freiburg,1,1,1,1,12,10,122.18,124.74,603,514,530,445,73,69,0.88,0.87,0.54,0.46,0.5,0.5,11,13,13,10,1,0,10,6
1757,18-19,26,FC Schalke 04,RB Leipzig,0,1,0,1,16,16,106.41,113.63,423,413,307,290,116,123,0.73,0.7,0.5,0.5,0.51,0.49,13,16,16,12,1,0,0,6
1758,18-19,26,VfB Stuttgart,TSG Hoffenheim,1,1,0,1,13,21,118.72,121.31,335,526,226,430,109,96,0.67,0.82,0.4,0.6,0.61,0.39,9,15,15,9,2,1,4,9
1759,18-19,26,FC Augsburg,Hannover 96,3,1,0,1,22,13,117.47,117.96,501,327,382,223,119,104,0.76,0.68,0.61,0.39,0.59,0.41,12,12,11,11,2,2,2,3
1760,18-19,26,VfL Wolfsburg,Fortuna Düsseldorf,5,2,1,1,18,18,120.43,116.79,543,370,456,295,87,75,0.84,0.8,0.59,0.41,0.42,0.58,16,9,9,15,3,1,7,5
1761,18-19,26,Hertha BSC,Borussia Dortmund,2,3,2,1,7,25,116.13,119.53,421,446,319,352,102,94,0.76,0.79,0.48,0.52,0.53,0.47,10,6,5,10,6,5,4,10
1762,18-19,26,Bayer 04 Leverkusen,Werder Bremen,1,3,0,2,15,11,123.77,123.46,692,289,601,200,91,89,0.87,0.69,0.71,0.29,0.54,0.46,9,11,11,8,1,1,10,3
1763,18-19,26,Eintracht Frankfurt,1. FC Nürnberg,1,0,1,0,24,10,114.54,117.92,526,296,412,185,114,111,0.78,0.62,0.64,0.36,0.53,0.47,6,14,13,4,2,3,8,3
1764,18-19,26,Bayern München,1. FSV Mainz 05,6,0,3,0,22,7,115.38,114.28,747,317,665,247,82,70,0.89,0.78,0.7,0.3,0.45,0.55,7,7,5,7,2,1,13,2
1765,18-19,27,TSG Hoffenheim,Bayer 04 Leverkusen,4,1,1,1,12,18,120.54,122.71,346,631,264,546,82,85,0.76,0.87,0.36,0.64,0.44,0.56,9,6,6,8,2,4,4,7
1766,18-19,27,Borussia Dortmund,VfL Wolfsburg,2,0,0,0,11,6,113.37,112.59,477,409,400,333,77,76,0.84,0.81,0.53,0.47,0.55,0.45,11,13,13,11,1,2,5,4
1767,18-19,27,Werder Bremen,1. FSV Mainz 05,3,1,2,0,8,14,123.1,119.27,557,426,444,322,113,104,0.8,0.76,0.56,0.44,0.5,0.5,12,9,9,11,1,1,7,8
1768,18-19,27,SC Freiburg,Bayern München,1,1,1,1,12,27,122.01,119.25,282,680,217,613,65,67,0.77,0.9,0.29,0.71,0.42,0.58,9,10,10,8,1,1,1,7
1769,18-19,27,Fortuna Düsseldorf,Bor. Mönchengladbach,3,1,3,0,8,14,121.76,118.49,281,652,201,581,80,71,0.72,0.89,0.3,0.7,0.54,0.46,14,13,13,14,0,2,1,2
1770,18-19,27,1. FC Nürnberg,FC Augsburg,3,0,0,0,11,15,112.58,108.1,374,378,274,287,100,91,0.73,0.76,0.5,0.5,0.46,0.54,8,15,13,8,1,2,4,4
1771,18-19,27,RB Leipzig,Hertha BSC,5,0,2,0,22,6,114.29,108.41,493,505,413,416,80,89,0.84,0.82,0.49,0.51,0.5,0.5,7,7,6,7,4,7,6,3
1772,18-19,27,Hannover 96,FC Schalke 04,0,1,0,1,15,6,114.2,109.29,515,332,421,239,94,93,0.82,0.72,0.61,0.39,0.51,0.49,18,18,18,16,0,2,8,2
1773,18-19,27,Eintracht Frankfurt,VfB Stuttgart,3,0,1,0,11,9,109.11,108.06,415,409,320,293,95,116,0.77,0.72,0.5,0.5,0.49,0.51,13,10,10,13,3,2,5,5
1774,18-19,28,1. FSV Mainz 05,SC Freiburg,5,0,3,0,9,17,120.11,116.09,280,652,217,577,63,75,0.78,0.88,0.3,0.7,0.42,0.58,18,8,7,18,3,0,2,7
1775,18-19,28,FC Schalke 04,Eintracht Frankfurt,1,2,1,1,6,16,111.06,112.56,274,480,164,367,110,113,0.6,0.76,0.37,0.63,0.45,0.55,18,8,8,16,3,2,3,6
1776,18-19,28,Bayer 04 Leverkusen,RB Leipzig,2,4,2,1,10,8,118.53,116.28,594,351,492,243,102,108,0.83,0.69,0.63,0.37,0.5,0.5,12,13,12,11,3,3,6,2
1777,18-19,28,VfB Stuttgart,1. FC Nürnberg,1,1,0,1,13,20,112.91,117.33,430,351,346,266,84,85,0.8,0.76,0.56,0.44,0.5,0.5,10,11,11,8,2,4,12,5
1778,18-19,28,Hertha BSC,Fortuna Düsseldorf,1,2,1,1,13,15,111.26,113.01,538,362,467,286,71,76,0.87,0.79,0.6,0.4,0.5,0.5,20,11,11,18,2,3,2,6
1779,18-19,28,VfL Wolfsburg,Hannover 96,3,1,1,1,12,11,112.92,114.5,498,317,413,239,85,78,0.83,0.75,0.61,0.39,0.59,0.41,10,11,11,9,0,1,9,2
1780,18-19,28,Bayern München,Borussia Dortmund,5,0,4,0,22,4,113.24,111.87,580,412,510,339,70,73,0.88,0.82,0.59,0.41,0.54,0.46,10,12,12,9,1,2,11,1
1781,18-19,28,FC Augsburg,TSG Hoffenheim,0,4,0,1,8,19,113.1,117.53,379,547,297,474,82,73,0.78,0.87,0.42,0.58,0.51,0.49,11,10,10,9,3,3,4,3
1782,18-19,28,Bor. Mönchengladbach,Werder Bremen,1,1,0,0,15,12,119.1,122.62,535,501,448,398,87,103,0.84,0.79,0.52,0.48,0.48,0.52,7,6,6,7,2,1,7,1
1783,18-19,29,1. FC Nürnberg,FC Schalke 04,1,1,0,0,17,16,117.64,115.76,424,373,334,299,90,74,0.79,0.8,0.53,0.47,0.57,0.43,12,14,13,12,2,4,11,9
1784,18-19,29,RB Leipzig,VfL Wolfsburg,2,0,2,0,21,6,112.07,114.98,434,406,329,281,105,125,0.76,0.69,0.52,0.48,0.44,0.56,19,12,11,19,5,5,9,3
1785,18-19,29,VfB Stuttgart,Bayer 04 Leverkusen,0,1,0,0,12,17,120.44,125.99,307,697,206,586,101,111,0.67,0.84,0.32,0.68,0.55,0.45,16,12,11,13,5,1,7,6
1786,18-19,29,Werder Bremen,SC Freiburg,2,1,0,0,16,9,121.29,119.68,571,350,461,241,110,109,0.81,0.69,0.62,0.38,0.46,0.54,19,7,7,18,0,2,7,3
1787,18-19,29,Hannover 96,Bor. Mönchengladbach,0,1,0,0,12,19,123.29,123.04,420,565,329,466,91,99,0.78,0.82,0.42,0.58,0.5,0.5,10,9,9,9,0,0,3,12
1788,18-19,29,Borussia Dortmund,1. FSV Mainz 05,2,1,2,0,12,17,126.5,126.5,727,447,613,343,114,104,0.84,0.77,0.61,0.39,0.48,0.52,12,6,6,10,1,1,4,4
1789,18-19,29,TSG Hoffenheim,Hertha BSC,2,0,1,0,29,5,118.0,113.94,575,391,490,305,85,86,0.85,0.78,0.6,0.4,0.51,0.49,8,16,16,8,1,1,9,3
1790,18-19,29,Fortuna Düsseldorf,Bayern München,1,4,0,2,7,19,115.73,114.88,359,735,274,656,85,79,0.76,0.89,0.33,0.67,0.37,0.63,10,10,8,10,1,2,2,6
1791,18-19,29,Eintracht Frankfurt,FC Augsburg,1,3,1,2,18,16,110.36,115.7,323,432,213,317,110,115,0.66,0.73,0.44,0.56,0.49,0.51,19,9,9,17,4,7,8,2
1792,18-19,30,Bayern München,Werder Bremen,1,0,0,0,28,3,112.56,112.89,624,283,545,203,79,80,0.87,0.72,0.7,0.3,0.54,0.46,11,12,12,10,0,1,14,3
1793,18-19,30,Bayer 04 Leverkusen,1. FC Nürnberg,2,0,0,0,21,5,123.62,117.71,688,388,600,296,88,92,0.87,0.76,0.64,0.36,0.48,0.52,11,7,7,11,1,1,11,1
1794,18-19,30,FC Augsburg,VfB Stuttgart,6,0,3,0,23,13,113.21,105.65,443,404,360,333,83,71,0.81,0.82,0.52,0.48,0.43,0.57,14,7,6,13,3,0,9,4
1795,18-19,30,1. FSV Mainz 05,Fortuna Düsseldorf,3,1,1,1,21,16,112.39,110.66,450,352,369,262,81,90,0.82,0.74,0.55,0.45,0.62,0.38,11,14,14,10,3,3,3,7
1796,18-19,30,Bor. Mönchengladbach,RB Leipzig,1,2,0,1,15,13,116.7,118.27,594,384,482,284,112,100,0.81,0.74,0.61,0.39,0.5,0.5,13,16,13,13,8,1,2,4
1797,18-19,30,FC Schalke 04,TSG Hoffenheim,2,5,0,2,15,11,106.44,111.87,313,474,244,403,69,71,0.78,0.85,0.4,0.6,0.5,0.5,15,15,15,13,2,0,6,1
1798,18-19,30,SC Freiburg,Borussia Dortmund,0,4,0,1,11,10,117.95,117.07,466,684,404,609,62,75,0.87,0.89,0.41,0.59,0.53,0.47,11,6,6,10,5,1,5,3
1799,18-19,30,Hertha BSC,Hannover 96,0,0,0,0,16,13,110.34,113.39,443,298,354,200,89,98,0.8,0.67,0.6,0.4,0.4,0.6,14,9,9,14,1,3,5,8
1800,18-19,30,VfL Wolfsburg,Eintracht Frankfurt,1,1,0,0,20,12,115.34,112.72,450,317,331,202,119,115,0.74,0.64,0.59,0.41,0.45,0.55,10,10,9,10,4,1,13,6
1801,18-19,31,FC Augsburg,Bayer 04 Leverkusen,1,4,1,1,8,13,116.02,118.9,291,872,200,791,91,81,0.69,0.91,0.26,0.74,0.47,0.53,11,8,8,11,2,5,3,3
1802,18-19,31,Borussia Dortmund,FC Schalke 04,2,4,1,2,8,8,105.41,114.57,654,280,593,217,61,63,0.91,0.78,0.7,0.3,0.6,0.4,11,19,18,9,1,2,2,4
1803,18-19,31,RB Leipzig,SC Freiburg,2,1,1,0,14,14,116.0,117.74,405,464,309,376,96,88,0.76,0.81,0.47,0.53,0.51,0.49,15,17,15,15,0,3,5,4
1804,18-19,31,Eintracht Frankfurt,Hertha BSC,0,0,0,0,11,11,112.16,109.39,381,415,242,293,139,122,0.64,0.71,0.48,0.52,0.54,0.46,15,16,15,13,2,5,2,4
1805,18-19,31,Hannover 96,1. FSV Mainz 05,1,0,0,0,8,23,119.31,115.68,370,544,257,445,113,99,0.69,0.82,0.4,0.6,0.49,0.51,10,14,14,10,1,2,4,7
1806,18-19,31,Fortuna Düsseldorf,Werder Bremen,4,1,2,1,13,18,119.61,121.67,438,499,367,434,71,65,0.84,0.87,0.46,0.54,0.67,0.33,9,15,13,9,2,1,4,9
1807,18-19,31,VfB Stuttgart,Bor. Mönchengladbach,1,0,0,0,13,18,114.96,114.64,266,573,190,478,76,95,0.71,0.83,0.32,0.68,0.53,0.47,20,10,7,19,4,2,2,7
1808,18-19,31,TSG Hoffenheim,VfL Wolfsburg,1,4,1,1,18,21,116.88,119.04,399,500,309,404,90,96,0.77,0.81,0.45,0.55,0.46,0.54,13,10,9,13,1,1,9,3
1809,18-19,31,1. FC Nürnberg,Bayern München,1,1,0,0,10,17,118.56,114.65,311,613,214,537,97,76,0.69,0.88,0.33,0.67,0.48,0.52,12,10,9,11,1,0,5,5
1810,18-19,32,1. FSV Mainz 05,RB Leipzig,3,3,1,2,14,14,119.36,118.15,519,383,392,266,127,117,0.76,0.69,0.58,0.42,0.48,0.52,14,13,12,14,9,1,6,4
1811,18-19,32,Bayern München,Hannover 96,3,1,2,0,27,2,114.84,112.05,711,310,641,226,70,84,0.9,0.73,0.7,0.3,0.48,0.52,10,5,5,9,1,2,11,0
1812,18-19,32,Bor. Mönchengladbach,TSG Hoffenheim,2,2,0,1,11,26,113.32,115.6,350,474,277,404,73,70,0.79,0.85,0.42,0.58,0.51,0.49,10,18,18,10,1,5,2,7
1813,18-19,32,Hertha BSC,VfB Stuttgart,3,1,2,0,13,15,114.37,113.04,466,434,358,327,108,107,0.77,0.75,0.51,0.49,0.49,0.51,13,19,18,13,5,3,2,5
1814,18-19,32,VfL Wolfsburg,1. FC Nürnberg,2,0,1,0,9,12,115.99,113.3,448,377,364,288,84,89,0.81,0.76,0.54,0.46,0.57,0.43,8,14,12,8,0,0,4,5
1815,18-19,32,Werder Bremen,Borussia Dortmund,2,2,0,2,14,20,121.61,120.59,492,550,423,476,69,74,0.86,0.87,0.48,0.52,0.45,0.55,18,7,7,18,3,2,4,8
1816,18-19,32,FC Schalke 04,FC Augsburg,0,0,0,0,15,7,112.18,116.0,505,506,431,427,74,79,0.85,0.84,0.5,0.5,0.64,0.36,4,6,6,4,1,0,7,4
1817,18-19,32,SC Freiburg,Fortuna Düsseldorf,1,1,1,1,10,14,112.85,112.92,357,563,272,496,85,67,0.76,0.88,0.39,0.61,0.47,0.53,12,11,11,12,1,1,5,4
1818,18-19,32,Bayer 04 Leverkusen,Eintracht Frankfurt,6,1,6,1,16,6,118.42,113.34,1059,237,953,146,106,91,0.9,0.62,0.81,0.19,0.56,0.44,3,12,12,3,1,3,1,4
1819,18-19,33,TSG Hoffenheim,Werder Bremen,0,1,0,1,19,11,118.93,118.0,536,291,440,191,96,100,0.82,0.66,0.65,0.35,0.51,0.49,16,12,10,16,3,1,1,4
1820,18-19,33,Borussia Dortmund,Fortuna Düsseldorf,3,2,1,0,15,8,118.24,117.19,686,438,624,362,62,76,0.91,0.83,0.61,0.39,0.5,0.5,12,12,12,11,0,2,2,4
1821,18-19,33,Bayer 04 Leverkusen,FC Schalke 04,1,1,1,0,18,7,118.45,114.81,798,263,706,177,92,86,0.88,0.67,0.75,0.25,0.48,0.52,10,12,11,10,0,4,4,4
1822,18-19,33,RB Leipzig,Bayern München,0,0,0,0,10,11,115.68,115.0,344,624,241,532,103,92,0.7,0.85,0.35,0.65,0.48,0.52,11,9,9,11,2,7,1,6
1823,18-19,33,VfB Stuttgart,VfL Wolfsburg,3,0,1,0,11,9,111.12,111.14,319,473,220,378,99,95,0.69,0.8,0.41,0.59,0.55,0.45,14,10,10,14,3,3,3,3
1824,18-19,33,FC Augsburg,Hertha BSC,3,4,1,0,5,24,114.35,110.1,376,563,290,489,86,74,0.77,0.87,0.39,0.61,0.42,0.58,12,6,4,11,3,0,1,9
1825,18-19,33,Hannover 96,SC Freiburg,3,0,1,0,18,5,115.78,115.85,535,395,459,313,76,82,0.86,0.79,0.58,0.42,0.53,0.47,15,12,12,15,0,1,5,3
1826,18-19,33,1. FC Nürnberg,Bor. Mönchengladbach,0,4,0,0,12,16,114.02,114.52,464,496,403,444,61,52,0.87,0.9,0.48,0.52,0.45,0.55,4,14,14,4,2,0,1,5
1827,18-19,33,Eintracht Frankfurt,1. FSV Mainz 05,0,2,0,0,13,15,110.96,112.57,432,318,320,217,112,101,0.74,0.68,0.58,0.42,0.43,0.57,10,20,19,10,1,5,9,6
1828,18-19,34,Bayern München,Eintracht Frankfurt,5,1,1,0,23,6,108.54,104.73,480,309,386,199,94,110,0.8,0.64,0.61,0.39,0.56,0.44,8,15,13,7,8,0,5,3
1829,18-19,34,FC Schalke 04,VfB Stuttgart,0,0,0,0,12,16,109.83,109.35,367,553,281,463,86,90,0.77,0.84,0.4,0.6,0.48,0.52,10,9,8,10,0,2,7,5
1830,18-19,34,Bor. Mönchengladbach,Borussia Dortmund,0,2,0,1,7,12,115.53,114.88,362,874,301,809,61,65,0.83,0.93,0.3,0.7,0.4,0.6,9,6,6,9,2,0,2,2
1831,18-19,34,Hertha BSC,Bayer 04 Leverkusen,1,5,1,2,9,13,104.94,113.11,396,714,318,638,78,76,0.8,0.89,0.36,0.64,0.54,0.46,10,14,14,10,1,1,4,3
1832,18-19,34,Werder Bremen,RB Leipzig,2,1,1,0,6,10,111.87,110.22,446,452,356,367,90,85,0.8,0.81,0.5,0.5,0.46,0.54,18,13,13,16,1,4,3,9
1833,18-19,34,SC Freiburg,1. FC Nürnberg,5,1,2,0,18,14,117.52,113.73,677,421,620,359,57,62,0.92,0.85,0.62,0.38,0.46,0.54,15,10,9,15,1,0,4,2
1834,18-19,34,1. FSV Mainz 05,TSG Hoffenheim,4,2,0,2,22,19,116.74,111.92,458,350,397,277,61,73,0.87,0.79,0.57,0.43,0.42,0.58,18,11,8,17,1,0,8,5
1835,18-19,34,VfL Wolfsburg,FC Augsburg,8,1,3,0,18,12,112.73,109.53,452,372,362,275,90,97,0.8,0.74,0.56,0.44,0.43,0.57,7,12,11,5,3,2,6,5
1836,18-19,34,Fortuna Düsseldorf,Hannover 96,2,1,0,0,14,14,112.29,115.14,458,382,382,325,76,57,0.83,0.85,0.54,0.46,0.44,0.56,13,9,9,13,2,2,2,7
