season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
18-19,14,SC Freiburg ,RB Leipzig ,3,0,2,0,12,16,"118,74 km","112,5 km",337,477,224,343,113,134,66%,72%,41%,59%,49%,51%,10,16,16,9,3,2,3,12
18-19,14,VfL Wolfsburg ,TSG Hoffenheim ,2,2,2,1,10,19,"119,68 km","121,33 km",481,444,401,362,80,82,83%,82%,52%,48%,48%,52%,9,10,9,9,1,1,6,4
18-19,14,Hertha BSC ,Eintracht Frankfurt ,1,0,1,0,7,18,"112,06 km","115,23 km",297,451,212,352,85,99,71%,78%,39%,61%,52%,48%,18,14,14,16,5,3,5,9
18-19,14,1. FSV Mainz 05 ,Hannover 96 ,1,1,0,1,28,11,"117,67 km","118,55 km",563,252,478,164,85,88,85%,65%,70%,30%,48%,52%,13,11,10,12,2,1,9,1
18-19,14,Bor. Mönchengladbach ,VfB Stuttgart ,3,0,0,0,23,7,"117,08 km","114,8 km",727,292,664,225,63,67,91%,77%,71%,29%,51%,49%,8,13,11,7,5,4,7,4
18-19,15,1. FC Nürnberg ,VfL Wolfsburg ,0,2,0,0,11,10,"117,49 km","118,44 km",385,456,287,358,98,98,75%,79%,46%,54%,43%,57%,13,13,13,13,2,1,6,3
18-19,15,TSG Hoffenheim ,Bor. Mönchengladbach ,0,0,0,0,27,6,"123,28 km","120,33 km",572,362,485,257,87,105,85%,71%,62%,38%,51%,49%,9,10,10,9,4,3,6,2
18-19,15,VfB Stuttgart ,Hertha BSC ,2,1,0,1,9,15,"112,41 km","111,73 km",394,445,301,340,93,105,76%,76%,48%,52%,53%,47%,13,15,13,11,2,0,5,5
18-19,15,FC Augsburg ,FC Schalke 04 ,1,1,1,0,15,15,"114,22 km","113,61 km",403,426,283,318,120,108,70%,75%,48%,52%,49%,51%,17,10,8,17,2,3,6,7
18-19,15,Hannover 96 ,Bayern München ,0,4,0,2,3,33,"119,73 km","119,03 km",299,761,221,695,78,66,74%,91%,28%,72%,38%,62%,9,6,5,9,0,2,0,14
18-19,15,Fortuna Düsseldorf ,SC Freiburg ,2,0,0,0,21,6,"122,09 km","123,53 km",347,618,262,517,85,101,76%,84%,37%,63%,52%,48%,13,10,10,12,1,0,4,1
18-19,15,Borussia Dortmund ,Werder Bremen ,2,1,2,1,16,11,"118,91 km","122,63 km",531,466,448,385,83,81,84%,83%,52%,48%,55%,45%,12,15,14,11,3,1,4,10
18-19,15,RB Leipzig ,1. FSV Mainz 05 ,4,1,2,1,18,12,"112,31 km","109,44 km",350,458,241,360,109,98,69%,79%,43%,57%,55%,45%,10,13,13,9,1,2,6,2
18-19,15,Eintracht Frankfurt ,Bayer 04 Leverkusen ,2,1,1,0,17,11,"119,74 km","120,01 km",385,434,288,322,97,112,75%,74%,47%,53%,53%,47%,10,9,8,9,1,5,10,7
18-19,16,Bor. Mönchengladbach ,1. FC Nürnberg ,2,0,0,0,16,7,"121,36 km","123,74 km",527,453,460,386,67,67,87%,85%,53%,47%,55%,45%,6,19,19,5,2,2,6,7
18-19,16,Hertha BSC ,FC Augsburg ,2,2,2,2,18,9,"116,77 km","116,86 km",391,472,282,345,109,127,72%,73%,45%,55%,49%,51%,19,14,13,17,3,1,3,2
18-19,16,VfL Wolfsburg ,VfB Stuttgart ,2,0,2,0,16,11,"116,95 km","115,25 km",470,341,360,248,110,93,77%,73%,56%,44%,58%,42%,10,17,17,10,2,2,4,8
18-19,16,Fortuna Düsseldorf ,Borussia Dortmund ,2,1,1,0,8,10,"124,08 km","121,41 km",296,794,204,699,92,95,69%,88%,27%,73%,50%,50%,8,13,13,8,0,4,2,2
18-19,16,FC Schalke 04 ,Bayer 04 Leverkusen ,1,2,1,2,18,8,"118,85 km","122,71 km",488,408,385,303,103,105,79%,74%,55%,45%,54%,46%,16,21,18,15,4,1,7,1
18-19,16,Bayern München ,RB Leipzig ,1,0,0,0,10,8,"117,63 km","119,57 km",594,387,468,262,126,125,79%,68%,60%,40%,47%,53%,10,21,20,9,2,3,5,5
18-19,16,Werder Bremen ,TSG Hoffenheim ,1,1,0,1,26,14,"127,49 km","129,65 km",512,481,391,369,121,112,76%,77%,51%,49%,44%,56%,7,13,13,7,1,3,6,3
18-19,16,SC Freiburg ,Hannover 96 ,1,1,1,1,14,18,"124,3 km","118,32 km",381,447,281,358,100,89,74%,80%,47%,53%,50%,50%,13,15,14,12,2,0,5,2
18-19,16,1. FSV Mainz 05 ,Eintracht Frankfurt ,2,2,2,2,17,12,"110,41 km","111,24 km",383,385,275,274,108,111,72%,71%,50%,50%,49%,51%,14,15,15,14,3,2,3,2
18-19,17,Borussia Dortmund ,Bor. Mönchengladbach ,2,1,1,1,12,3,"123,21 km","121,7 km",691,587,632,526,59,61,91%,90%,54%,46%,59%,41%,5,12,12,5,2,3,4,2
18-19,17,Bayer 04 Leverkusen ,Hertha BSC ,3,1,2,1,15,13,"128,22 km","122,98 km",629,474,538,393,91,81,86%,83%,57%,43%,43%,57%,4,12,12,3,1,1,4,5
18-19,17,RB Leipzig ,Werder Bremen ,3,2,2,0,13,16,"118,61 km","119,23 km",434,540,307,416,127,124,71%,77%,44%,56%,54%,46%,14,9,9,14,7,4,4,4
18-19,17,VfB Stuttgart ,FC Schalke 04 ,1,3,0,1,17,14,"115,24 km","118,59 km",529,326,422,215,107,111,80%,66%,62%,38%,47%,53%,10,18,17,9,0,1,2,5
18-19,17,Hannover 96 ,Fortuna Düsseldorf ,0,1,0,0,18,14,"117,56 km","115,34 km",447,339,356,247,91,92,80%,73%,56%,44%,49%,51%,14,22,20,13,0,1,4,6
18-19,17,1. FC Nürnberg ,SC Freiburg ,0,1,0,1,15,7,"116,27 km","118,49 km",514,310,430,241,84,69,84%,78%,62%,38%,50%,50%,16,17,16,16,2,0,12,3
18-19,17,Eintracht Frankfurt ,Bayern München ,0,3,0,1,10,9,"112,09 km","110,5 km",355,567,263,472,92,95,74%,83%,39%,61%,52%,48%,10,5,4,10,4,2,3,4
18-19,17,FC Augsburg ,VfL Wolfsburg ,2,3,0,2,10,16,"120,37 km","119,6 km",360,481,263,385,97,96,73%,80%,43%,57%,46%,54%,13,13,12,11,3,2,3,4
18-19,17,TSG Hoffenheim ,1. FSV Mainz 05 ,1,1,1,1,29,12,"122,02 km","117,7 km",652,319,548,230,104,89,84%,72%,67%,33%,55%,45%,12,11,10,11,3,4,9,2
18-19,18,TSG Hoffenheim ,Bayern München ,1,3,0,2,13,21,"123,11 km","118,73 km",431,569,349,495,82,74,81%,87%,43%,57%,40%,60%,14,9,9,13,1,1,2,6
18-19,18,Bayer 04 Leverkusen ,Bor. Mönchengladbach ,0,1,0,1,22,7,"128,17 km","124,66 km",617,350,529,252,88,98,86%,72%,64%,36%,59%,41%,10,14,14,10,1,1,10,3
18-19,18,VfB Stuttgart ,1. FSV Mainz 05 ,2,3,0,2,28,14,"114,94 km","117,06 km",473,293,380,196,93,97,80%,67%,62%,38%,55%,45%,9,18,16,9,0,0,13,8
18-19,18,Eintracht Frankfurt ,SC Freiburg ,3,1,3,0,9,21,"123,27 km","124,92 km",453,516,360,422,93,94,79%,82%,47%,53%,43%,57%,13,9,8,13,1,2,5,5
18-19,18,FC Augsburg ,Fortuna Düsseldorf ,1,2,0,1,13,11,"120,82 km","120,14 km",478,509,367,401,111,108,77%,79%,49%,51%,52%,48%,13,9,9,13,3,0,5,3
18-19,18,Hannover 96 ,Werder Bremen ,0,1,0,1,10,23,"113,38 km","114,23 km",399,429,311,345,88,84,78%,80%,48%,52%,48%,52%,17,21,19,17,2,1,7,8
18-19,18,RB Leipzig ,Borussia Dortmund ,0,1,0,1,12,8,"120,27 km","122,41 km",460,517,358,414,102,103,78%,80%,48%,52%,55%,45%,12,9,9,12,3,3,6,7
18-19,18,1. FC Nürnberg ,Hertha BSC ,1,3,1,1,14,16,"108,19 km","110,24 km",417,547,308,448,109,99,74%,82%,44%,56%,50%,50%,13,9,8,13,0,0,4,4
18-19,18,FC Schalke 04 ,VfL Wolfsburg ,2,1,1,1,20,12,"120,89 km","121,02 km",400,496,300,389,100,107,75%,78%,45%,55%,53%,47%,12,5,5,11,0,0,4,6
18-19,19,Hertha BSC ,FC Schalke 04 ,2,2,2,2,11,13,"113,23 km","112,27 km",371,427,282,336,89,91,76%,79%,47%,53%,46%,54%,16,10,10,15,3,0,3,6
18-19,19,Borussia Dortmund ,Hannover 96 ,5,1,1,0,18,11,"112,52 km","115,1 km",638,362,541,274,97,88,85%,76%,64%,36%,55%,45%,8,10,9,8,0,4,6,3
18-19,19,Bor. Mönchengladbach ,FC Augsburg ,2,0,0,0,14,4,"117,96 km","120,04 km",599,355,518,266,81,89,86%,75%,63%,37%,55%,45%,10,15,15,9,3,4,4,0
18-19,19,SC Freiburg ,TSG Hoffenheim ,2,4,1,1,20,16,"120,02 km","122,48 km",358,503,261,410,97,93,73%,82%,43%,57%,56%,44%,17,16,15,16,1,0,6,1
18-19,19,1. FSV Mainz 05 ,1. FC Nürnberg ,2,1,1,1,19,8,"111,13 km","113,6 km",382,340,300,249,82,91,79%,73%,54%,46%,54%,46%,12,17,15,12,1,6,5,5
18-19,19,VfL Wolfsburg ,Bayer 04 Leverkusen ,0,3,0,1,11,23,"116,34 km","124,36 km",378,460,288,381,90,79,76%,83%,46%,54%,60%,40%,10,13,13,10,6,0,5,6
18-19,19,Werder Bremen ,Eintracht Frankfurt ,2,2,1,1,18,8,"116,47 km","115,71 km",396,446,273,323,123,123,69%,72%,48%,52%,45%,55%,12,11,10,11,2,3,8,3
18-19,19,Bayern München ,VfB Stuttgart ,4,1,1,1,19,7,"111,13 km","112,49 km",718,288,645,213,73,75,90%,74%,71%,29%,60%,40%,9,10,9,9,6,1,8,1
18-19,19,Fortuna Düsseldorf ,RB Leipzig ,0,4,0,3,10,12,"111,59 km","114,5 km",515,457,414,366,101,91,80%,80%,54%,46%,48%,52%,11,11,11,11,1,3,8,2
18-19,20,Hannover 96 ,RB Leipzig ,0,3,0,1,5,19,"112,87 km","114,3 km",399,465,277,350,122,115,69%,75%,46%,54%,39%,61%,15,20,17,14,2,2,0,7
18-19,20,TSG Hoffenheim ,Fortuna Düsseldorf ,1,1,1,0,14,9,"118,8 km","115,86 km",585,317,489,219,96,98,84%,69%,64%,36%,43%,57%,22,14,13,22,1,2,5,5
18-19,20,Bayer 04 Leverkusen ,Bayern München ,3,1,0,1,10,17,"124,63 km","115,9 km",443,462,348,372,95,90,79%,81%,49%,51%,50%,50%,13,13,11,11,1,1,7,4
18-19,20,Eintracht Frankfurt ,Borussia Dortmund ,1,1,1,1,12,13,"118,68 km","117,52 km",390,585,269,466,121,119,69%,80%,41%,59%,49%,51%,15,6,6,14,2,1,6,4
18-19,20,Hertha BSC ,VfL Wolfsburg ,0,1,0,0,11,8,"116,85 km","122,09 km",463,417,376,322,87,95,81%,77%,52%,48%,49%,51%,19,12,11,19,2,0,3,7
18-19,20,1. FC Nürnberg ,Werder Bremen ,1,1,0,0,11,10,"121,66 km","120,2 km",393,586,294,491,99,95,75%,84%,40%,60%,51%,49%,17,17,15,15,2,2,3,7
18-19,20,FC Schalke 04 ,Bor. Mönchengladbach ,0,2,0,0,10,16,"107,79 km","111,88 km",345,568,288,506,57,62,83%,89%,38%,62%,43%,57%,10,10,8,10,3,3,1,6
18-19,20,FC Augsburg ,1. FSV Mainz 05 ,3,0,2,0,16,5,"117,56 km","112,02 km",409,370,315,271,94,99,77%,73%,53%,47%,51%,49%,19,13,10,18,3,4,7,3
18-19,20,VfB Stuttgart ,SC Freiburg ,2,2,0,1,17,16,"121,13 km","125,98 km",613,277,513,189,100,88,84%,68%,69%,31%,53%,47%,9,10,9,8,1,1,7,8
18-19,21,1. FSV Mainz 05 ,Bayer 04 Leverkusen ,1,5,1,4,15,18,"117,47 km","124,21 km",284,751,188,655,96,96,66%,87%,28%,72%,53%,47%,14,6,5,13,5,2,4,4
18-19,21,Borussia Dortmund ,TSG Hoffenheim ,3,3,2,0,16,14,"119,23 km","123,37 km",619,416,543,337,76,79,88%,81%,59%,41%,63%,37%,7,14,14,7,3,1,7,8
18-19,21,RB Leipzig ,Eintracht Frankfurt ,0,0,0,0,15,6,"114,18 km","113,36 km",464,398,308,247,156,151,66%,62%,54%,46%,49%,51%,10,10,10,9,1,5,7,4
18-19,21,Bor. Mönchengladbach ,Hertha BSC ,0,3,0,1,12,10,"112,97 km","116,08 km",640,282,559,206,81,76,87%,73%,69%,31%,51%,49%,8,11,11,7,0,1,5,5
18-19,21,Hannover 96 ,1. FC Nürnberg ,2,0,1,0,19,10,"119,91 km","109,64 km",419,391,353,299,66,92,84%,76%,52%,48%,53%,47%,17,16,16,16,2,0,4,4
18-19,21,SC Freiburg ,VfL Wolfsburg ,3,3,1,1,10,16,"127,34 km","123,24 km",433,448,331,345,102,103,76%,77%,50%,50%,44%,56%,16,11,10,16,2,3,9,2
18-19,21,Bayern München ,FC Schalke 04 ,3,1,2,1,16,7,"114,59 km","114,59 km",688,296,617,229,71,67,90%,77%,70%,30%,52%,48%,11,11,9,8,0,2,7,2
18-19,21,Werder Bremen ,FC Augsburg ,4,0,3,0,13,13,"115,62 km","111,02 km",373,565,268,460,105,105,72%,81%,40%,60%,53%,47%,6,13,12,5,1,3,3,2
18-19,21,Fortuna Düsseldorf ,VfB Stuttgart ,3,0,1,0,15,15,"120,05 km","117,7 km",380,499,271,396,109,103,71%,79%,43%,57%,48%,52%,20,8,8,18,2,2,5,4
18-19,22,FC Augsburg ,Bayern München ,2,3,2,2,8,17,125 km,"117,93 km",273,697,188,627,85,70,69%,90%,29%,71%,43%,57%,14,13,13,13,1,2,1,9
18-19,22,FC Schalke 04 ,SC Freiburg ,0,0,0,0,12,12,"109,53 km","117,49 km",398,493,329,407,69,86,83%,83%,45%,55%,52%,48%,10,15,13,10,2,1,4,9
18-19,22,TSG Hoffenheim ,Hannover 96 ,3,0,2,0,27,6,"116,3 km","114,34 km",564,357,483,277,81,80,86%,78%,61%,39%,58%,42%,16,6,6,15,3,1,10,6
18-19,22,VfB Stuttgart ,RB Leipzig ,1,3,1,1,8,8,"117,67 km","121,39 km",432,473,307,336,125,137,71%,71%,48%,52%,47%,53%,19,13,11,18,7,4,5,4
18-19,22,VfL Wolfsburg ,1. FSV Mainz 05 ,3,0,1,0,17,12,"118,64 km","116,41 km",464,423,355,326,109,97,77%,77%,52%,48%,57%,43%,6,12,11,6,0,1,4,7
18-19,22,Hertha BSC ,Werder Bremen ,1,1,1,0,11,8,"113,85 km","118,25 km",364,554,258,443,106,111,71%,80%,39%,61%,59%,41%,17,12,11,16,3,3,4,3
18-19,22,Eintracht Frankfurt ,Bor. Mönchengladbach ,1,1,1,0,13,14,"112,93 km","110,93 km",331,493,255,415,76,78,77%,84%,41%,59%,53%,47%,12,8,8,12,7,0,8,7
18-19,22,Bayer 04 Leverkusen ,Fortuna Düsseldorf ,2,0,1,0,13,3,"119,96 km","118,85 km",1053,187,981,130,72,57,93%,70%,84%,16%,49%,51%,7,11,11,6,3,3,5,4
18-19,22,1. FC Nürnberg ,Borussia Dortmund ,0,0,0,0,7,17,"125,5 km","122,51 km",305,790,217,720,88,70,71%,91%,28%,72%,51%,49%,8,9,9,8,1,2,3,11
18-19,23,Werder Bremen ,VfB Stuttgart ,1,1,1,1,15,8,"123,06 km","123,36 km",758,347,632,219,126,128,83%,63%,69%,31%,54%,46%,7,9,9,7,1,4,4,2
18-19,23,Bayern München ,Hertha BSC ,1,0,0,0,12,9,"117,96 km","117,98 km",599,378,506,276,93,102,84%,73%,62%,38%,44%,56%,12,8,7,12,6,2,11,3
18-19,23,Bor. Mönchengladbach ,VfL Wolfsburg ,0,3,0,1,16,6,"116,59 km","121,79 km",558,425,473,345,85,80,85%,81%,58%,42%,45%,55%,15,11,11,14,3,0,12,1
18-19,23,SC Freiburg ,FC Augsburg ,5,1,3,0,19,14,"119,95 km","112,66 km",322,471,238,376,84,95,74%,80%,41%,59%,53%,47%,15,17,16,14,2,1,8,1
18-19,23,1. FSV Mainz 05 ,FC Schalke 04 ,3,0,1,0,20,10,"116,42 km","111,47 km",325,486,222,380,103,106,68%,78%,40%,60%,52%,48%,11,15,15,10,4,2,1,3
18-19,23,Fortuna Düsseldorf ,1. FC Nürnberg ,2,1,0,1,18,6,"117,02 km","110,79 km",646,224,574,145,72,79,89%,65%,75%,25%,52%,48%,14,10,7,14,2,1,7,3
18-19,23,Hannover 96 ,Eintracht Frankfurt ,0,3,0,0,9,14,"114,3 km","111,84 km",380,381,287,291,93,90,76%,76%,50%,50%,50%,50%,11,13,13,11,1,2,3,5
18-19,23,Borussia Dortmund ,Bayer 04 Leverkusen ,3,2,2,1,9,13,"119,75 km","125,33 km",362,725,271,639,91,86,75%,88%,34%,66%,54%,46%,10,9,9,10,1,2,3,8
18-19,23,RB Leipzig ,TSG Hoffenheim ,1,1,0,1,14,7,"121,03 km","122,3 km",452,433,308,299,144,134,68%,69%,52%,48%,53%,47%,18,21,21,16,3,8,6,4
18-19,24,FC Augsburg ,Borussia Dortmund ,2,1,1,0,9,17,"127,26 km","116,1 km",291,768,198,672,93,96,68%,88%,28%,72%,44%,56%,15,11,11,15,2,2,1,4
18-19,24,FC Schalke 04 ,Fortuna Düsseldorf ,0,4,0,1,7,14,"106,44 km","113,8 km",418,341,312,244,106,97,75%,72%,55%,45%,52%,48%,17,18,16,16,1,0,1,1
18-19,24,Bayer 04 Leverkusen ,SC Freiburg ,2,0,1,0,18,8,"128,72 km","128,94 km",901,323,830,235,71,88,92%,73%,73%,27%,49%,51%,11,7,7,11,2,1,7,2
18-19,24,Eintracht Frankfurt ,TSG Hoffenheim ,3,2,1,1,19,20,"124,24 km","121,58 km",408,410,321,312,87,98,79%,76%,50%,50%,60%,40%,9,17,16,8,1,1,4,3
18-19,24,Hertha BSC ,1. FSV Mainz 05 ,2,1,0,0,11,13,"112,2 km","115,91 km",571,376,452,249,119,127,79%,66%,60%,40%,50%,50%,13,10,10,13,0,2,4,1
18-19,24,1. FC Nürnberg ,RB Leipzig ,0,1,0,1,7,12,"117,88 km","116,18 km",358,442,224,321,134,121,63%,73%,45%,55%,53%,47%,10,18,17,9,5,2,5,8
18-19,24,Bor. Mönchengladbach ,Bayern München ,1,5,1,2,11,19,"117,27 km","117,84 km",416,705,350,646,66,59,84%,92%,37%,63%,57%,43%,6,13,11,6,2,1,1,9
18-19,24,VfB Stuttgart ,Hannover 96 ,5,1,3,0,14,3,"111,43 km","111,01 km",446,442,321,323,125,119,72%,73%,51%,49%,58%,42%,15,17,16,15,0,4,7,0
18-19,24,VfL Wolfsburg ,Werder Bremen ,1,1,0,0,13,12,"116,31 km","120,04 km",490,337,402,241,88,96,82%,72%,59%,41%,58%,42%,10,22,22,8,3,0,6,4
18-19,25,Werder Bremen ,FC Schalke 04 ,4,2,1,1,20,14,"115,89 km","111,24 km",423,333,322,219,101,114,76%,66%,56%,44%,44%,56%,18,10,10,17,2,3,4,5
18-19,25,Bayern München ,VfL Wolfsburg ,6,0,2,0,20,4,"117,86 km","117,2 km",587,391,518,310,69,81,88%,79%,60%,40%,53%,47%,10,8,6,10,2,3,7,2
18-19,25,Borussia Dortmund ,VfB Stuttgart ,3,1,0,0,18,7,"113,05 km","116,66 km",797,268,700,180,97,88,88%,67%,75%,25%,44%,56%,7,10,10,6,2,0,7,1
18-19,25,RB Leipzig ,FC Augsburg ,0,0,0,0,16,5,"113,45 km","116,61 km",637,300,531,179,106,121,83%,60%,68%,32%,55%,45%,12,10,9,12,4,3,7,4
18-19,25,SC Freiburg ,Hertha BSC ,2,1,1,0,9,16,"118,48 km","113,86 km",284,526,202,421,82,105,71%,80%,35%,65%,46%,54%,10,17,15,10,2,3,3,6
18-19,25,1. FSV Mainz 05 ,Bor. Mönchengladbach ,0,1,0,0,13,10,"122,4 km","120,58 km",465,586,383,492,82,94,82%,84%,45%,55%,48%,52%,12,5,4,12,2,0,2,6
18-19,25,TSG Hoffenheim ,1. FC Nürnberg ,2,1,1,0,16,11,"121,18 km","118,42 km",601,349,512,257,89,92,85%,74%,64%,36%,53%,47%,11,9,7,10,0,2,8,3
18-19,25,Hannover 96 ,Bayer 04 Leverkusen ,2,3,0,2,12,17,"122,82 km","127,67 km",341,538,188,384,153,154,55%,71%,39%,61%,44%,56%,15,15,15,14,7,4,6,6
18-19,25,Fortuna Düsseldorf ,Eintracht Frankfurt ,0,3,0,0,6,15,"116,89 km","120,87 km",402,476,304,397,98,79,76%,83%,45%,55%,50%,50%,9,16,14,9,2,2,1,5
18-19,26,Bor. Mönchengladbach ,SC Freiburg ,1,1,1,1,12,10,"122,18 km","124,74 km",603,514,530,445,73,69,88%,87%,54%,46%,50%,50%,11,13,13,10,1,0,10,6
18-19,26,FC Schalke 04 ,RB Leipzig ,0,1,0,1,16,16,"106,41 km","113,63 km",423,413,307,290,116,123,73%,70%,50%,50%,51%,49%,13,16,16,12,1,0,0,6
18-19,26,VfB Stuttgart ,TSG Hoffenheim ,1,1,0,1,13,21,"118,72 km","121,31 km",335,526,226,430,109,96,67%,82%,40%,60%,61%,39%,9,15,15,9,2,1,4,9
18-19,26,FC Augsburg ,Hannover 96 ,3,1,0,1,22,13,"117,47 km","117,96 km",501,327,382,223,119,104,76%,68%,61%,39%,59%,41%,12,12,11,11,2,2,2,3
18-19,26,VfL Wolfsburg ,Fortuna Düsseldorf ,5,2,1,1,18,18,"120,43 km","116,79 km",543,370,456,295,87,75,84%,80%,59%,41%,42%,58%,16,9,9,15,3,1,7,5
18-19,26,Hertha BSC ,Borussia Dortmund ,2,3,2,1,7,25,"116,13 km","119,53 km",421,446,319,352,102,94,76%,79%,48%,52%,53%,47%,10,6,5,10,6,5,4,10
18-19,26,Bayer 04 Leverkusen ,Werder Bremen ,1,3,0,2,15,11,"123,77 km","123,46 km",692,289,601,200,91,89,87%,69%,71%,29%,54%,46%,9,11,11,8,1,1,10,3
18-19,26,Eintracht Frankfurt ,1. FC Nürnberg ,1,0,1,0,24,10,"114,54 km","117,92 km",526,296,412,185,114,111,78%,62%,64%,36%,53%,47%,6,14,13,4,2,3,8,3
18-19,26,Bayern München ,1. FSV Mainz 05 ,6,0,3,0,22,7,"115,38 km","114,28 km",747,317,665,247,82,70,89%,78%,70%,30%,45%,55%,7,7,5,7,2,1,13,2
18-19,27,TSG Hoffenheim ,Bayer 04 Leverkusen ,4,1,1,1,12,18,"120,54 km","122,71 km",346,631,264,546,82,85,76%,87%,36%,64%,44%,56%,9,6,6,8,2,4,4,7
18-19,27,Borussia Dortmund ,VfL Wolfsburg ,2,0,0,0,11,6,"113,37 km","112,59 km",477,409,400,333,77,76,84%,81%,53%,47%,55%,45%,11,13,13,11,1,2,5,4
18-19,27,Werder Bremen ,1. FSV Mainz 05 ,3,1,2,0,8,14,"123,1 km","119,27 km",557,426,444,322,113,104,80%,76%,56%,44%,50%,50%,12,9,9,11,1,1,7,8
18-19,27,SC Freiburg ,Bayern München ,1,1,1,1,12,27,"122,01 km","119,25 km",282,680,217,613,65,67,77%,90%,29%,71%,42%,58%,9,10,10,8,1,1,1,7
18-19,27,Fortuna Düsseldorf ,Bor. Mönchengladbach ,3,1,3,0,8,14,"121,76 km","118,49 km",281,652,201,581,80,71,72%,89%,30%,70%,54%,46%,14,13,13,14,0,2,1,2
18-19,27,1. FC Nürnberg ,FC Augsburg ,3,0,0,0,11,15,"112,58 km","108,1 km",374,378,274,287,100,91,73%,76%,50%,50%,46%,54%,8,15,13,8,1,2,4,4
18-19,27,RB Leipzig ,Hertha BSC ,5,0,2,0,22,6,"114,29 km","108,41 km",493,505,413,416,80,89,84%,82%,49%,51%,50%,50%,7,7,6,7,4,7,6,3
18-19,27,Hannover 96 ,FC Schalke 04 ,0,1,0,1,15,6,"114,2 km","109,29 km",515,332,421,239,94,93,82%,72%,61%,39%,51%,49%,18,18,18,16,0,2,8,2
18-19,27,Eintracht Frankfurt ,VfB Stuttgart ,3,0,1,0,11,9,"109,11 km","108,06 km",415,409,320,293,95,116,77%,72%,50%,50%,49%,51%,13,10,10,13,3,2,5,5
18-19,28,1. FSV Mainz 05 ,SC Freiburg ,5,0,3,0,9,17,"120,11 km","116,09 km",280,652,217,577,63,75,78%,88%,30%,70%,42%,58%,18,8,7,18,3,0,2,7
18-19,28,FC Schalke 04 ,Eintracht Frankfurt ,1,2,1,1,6,16,"111,06 km","112,56 km",274,480,164,367,110,113,60%,76%,37%,63%,45%,55%,18,8,8,16,3,2,3,6
18-19,28,Bayer 04 Leverkusen ,RB Leipzig ,2,4,2,1,10,8,"118,53 km","116,28 km",594,351,492,243,102,108,83%,69%,63%,37%,50%,50%,12,13,12,11,3,3,6,2
18-19,28,VfB Stuttgart ,1. FC Nürnberg ,1,1,0,1,13,20,"112,91 km","117,33 km",430,351,346,266,84,85,80%,76%,56%,44%,50%,50%,10,11,11,8,2,4,12,5
18-19,28,Hertha BSC ,Fortuna Düsseldorf ,1,2,1,1,13,15,"111,26 km","113,01 km",538,362,467,286,71,76,87%,79%,60%,40%,50%,50%,20,11,11,18,2,3,2,6
18-19,28,VfL Wolfsburg ,Hannover 96 ,3,1,1,1,12,11,"112,92 km","114,5 km",498,317,413,239,85,78,83%,75%,61%,39%,59%,41%,10,11,11,9,0,1,9,2
18-19,28,Bayern München ,Borussia Dortmund ,5,0,4,0,22,4,"113,24 km","111,87 km",580,412,510,339,70,73,88%,82%,59%,41%,54%,46%,10,12,12,9,1,2,11,1
18-19,28,FC Augsburg ,TSG Hoffenheim ,0,4,0,1,8,19,"113,1 km","117,53 km",379,547,297,474,82,73,78%,87%,42%,58%,51%,49%,11,10,10,9,3,3,4,3
18-19,28,Bor. Mönchengladbach ,Werder Bremen ,1,1,0,0,15,12,"119,1 km","122,62 km",535,501,448,398,87,103,84%,79%,52%,48%,48%,52%,7,6,6,7,2,1,7,1
18-19,29,1. FC Nürnberg ,FC Schalke 04 ,1,1,0,0,17,16,"117,64 km","115,76 km",424,373,334,299,90,74,79%,80%,53%,47%,57%,43%,12,14,13,12,2,4,11,9
18-19,29,RB Leipzig ,VfL Wolfsburg ,2,0,2,0,21,6,"112,07 km","114,98 km",434,406,329,281,105,125,76%,69%,52%,48%,44%,56%,19,12,11,19,5,5,9,3
18-19,29,VfB Stuttgart ,Bayer 04 Leverkusen ,0,1,0,0,12,17,"120,44 km","125,99 km",307,697,206,586,101,111,67%,84%,32%,68%,55%,45%,16,12,11,13,5,1,7,6
18-19,29,Werder Bremen ,SC Freiburg ,2,1,0,0,16,9,"121,29 km","119,68 km",571,350,461,241,110,109,81%,69%,62%,38%,46%,54%,19,7,7,18,0,2,7,3
18-19,29,Hannover 96 ,Bor. Mönchengladbach ,0,1,0,0,12,19,"123,29 km","123,04 km",420,565,329,466,91,99,78%,82%,42%,58%,50%,50%,10,9,9,9,0,0,3,12
18-19,29,Borussia Dortmund ,1. FSV Mainz 05 ,2,1,2,0,12,17,"126,5 km","126,5 km",727,447,613,343,114,104,84%,77%,61%,39%,48%,52%,12,6,6,10,1,1,4,4
18-19,29,TSG Hoffenheim ,Hertha BSC ,2,0,1,0,29,5,118 km,"113,94 km",575,391,490,305,85,86,85%,78%,60%,40%,51%,49%,8,16,16,8,1,1,9,3
